id	gender	age	org_type	role	info_work	info_org	info_vision	info_change	info_intracomm	info_mgmttrust	role_category	gender_binary	gender_category	organization_category	comment	comment_unique	sentiment	rephrased_comment	profile_presentation
2	2	1981	2	2	2	2	2	2	2	2	Coworker	2.0	Male	Private	I am a 35 year old Male Coworker and I work in a Private organization.	Being a Male from 35, my role in the Private world is Coworker.	negative	Unfortunately, Being a Male from 35, my role in the Private world is Coworker.	Unfortunately, Being a Male from 35, my role in the Private world is Coworker. Nature and music are my two biggest inspirations. I believe in continuous learning and self-improvement. Nature and music are my two biggest inspirations. Creativity and innovation drive me. Nature and music are my two biggest inspirations. I am always up for a new adventure. Helping others and giving back to the community is important to me. I love to explore new horizons. I am a firm believer in the power of...
3	1	1967	2	1	2	4	5	2	2	4	Communicator	1.0	Female	Private	I am a 49 year old Female Communicator and I work in a Private organization.	In the Private industry, I serve as a Communicator and I'm a Female born in 49.	neutral	In general, In the Private industry, I serve as a Communicator and I'm a Female born in 49.	In general, In the Private industry, I serve as a Communicator and I'm a Female born in 49. Traveling and meeting new people is my passion. Traveling and meeting new people is my passion. I love to explore new horizons. In my free time, I enjoy reading and hiking. In my free time, I enjoy reading and hiking. I am a firm believer in the power of positivity. I am a firm believer in the power of positivity. Creativity and innovation drive me. I am always up for a new adventure. I am an avid...
4	1	1956	2	2	5	5	4	5	4	5	Coworker	1.0	Female	Private	I am a 60 year old Female Coworker and I work in a Private organization.	Being a Female from 60, my role in the Private world is Coworker.	neutral	It is a fact that Being a Female from 60, my role in the Private world is Coworker.	It is a fact that Being a Female from 60, my role in the Private world is Coworker. In my free time, I enjoy reading and hiking. Nature and music are my two biggest inspirations. Traveling and meeting new people is my passion. Helping others and giving back to the community is important to me. I am always up for a new adventure. I am an avid coffee lover and a bookworm. Creativity and innovation drive me. I love to explore new horizons. Creativity and innovation drive me. Nature and music are...
5	1	1985	2	2	5	4	4	4	3	4	Coworker	1.0	Female	Private	I am a 31 year old Female Coworker and I work in a Private organization.	As a Female aged 31, I work as a Coworker in the Private sector.	neutral	It is a fact that As a Female aged 31, I work as a Coworker in the Private sector.	It is a fact that As a Female aged 31, I work as a Coworker in the Private sector. I am an avid coffee lover and a bookworm. In my free time, I enjoy reading and hiking. Creativity and innovation drive me. I am always up for a new adventure. I believe in continuous learning and self-improvement. I believe in continuous learning and self-improvement. I believe in continuous learning and self-improvement. Helping others and giving back to the community is important to me. Traveling and meeting...
6	1	1964	2	2	4	4	4	4	4	5	Coworker	1.0	Female	Private	I am a 52 year old Female Coworker and I work in a Private organization.	Being a Female from 52, my role in the Private world is Coworker.	positive	Fortunately, Being a Female from 52, my role in the Private world is Coworker.	Fortunately, Being a Female from 52, my role in the Private world is Coworker. I love to explore new horizons. In my free time, I enjoy reading and hiking. I love to explore new horizons. Creativity and innovation drive me. Traveling and meeting new people is my passion. I am a firm believer in the power of positivity. I am always up for a new adventure. I love to explore new horizons. I am an avid coffee lover and a bookworm. Creativity and innovation drive me. Helping others and giving back...
7	2	1979	2	2	4	4	4	3	3	5	Coworker	2.0	Male	Private	I am a 37 year old Male Coworker and I work in a Private organization.	I, a Male born in 37, proudly represent the Coworker community in the Private domain.	neutral	Simply put, I, a Male born in 37, proudly represent the Coworker community in the Private domain.	Simply put, I, a Male born in 37, proudly represent the Coworker community in the Private domain. I am a firm believer in the power of positivity. Traveling and meeting new people is my passion. I am an avid coffee lover and a bookworm. In my free time, I enjoy reading and hiking. Helping others and giving back to the community is important to me. In my free time, I enjoy reading and hiking. Helping others and giving back to the community is important to me. Helping others and giving back to...
9	2	1956	2	2	4	4	4	4	4	5	Coworker	2.0	Male	Private	I am a 60 year old Male Coworker and I work in a Private organization.	I, a Male born in 60, proudly represent the Coworker community in the Private domain.	neutral	Simply put, I, a Male born in 60, proudly represent the Coworker community in the Private domain.	Simply put, I, a Male born in 60, proudly represent the Coworker community in the Private domain. I believe in continuous learning and self-improvement. I am always up for a new adventure. I am a firm believer in the power of positivity. I am always up for a new adventure. Helping others and giving back to the community is important to me. I believe in continuous learning and self-improvement. I am a firm believer in the power of positivity. I love to explore new horizons. I am an avid coffee...
10	1	1971	2	3	2	2	5	4	2	4	Manager	1.0	Female	Private	I am a 45 year old Female Manager and I work in a Private organization.	I, a Female born in 45, proudly represent the Manager community in the Private domain.	neutral	In general, I, a Female born in 45, proudly represent the Manager community in the Private domain.	In general, I, a Female born in 45, proudly represent the Manager community in the Private domain. I am a firm believer in the power of positivity. In my free time, I enjoy reading and hiking. In my free time, I enjoy reading and hiking. I love to explore new horizons. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. Creativity and innovation drive me. I believe in continuous learning and self-improvement. I am a firm believer in the power of positivity....
11	2	1987	2	2	5	5	4	4	4	4	Coworker	2.0	Male	Private	I am a 29 year old Male Coworker and I work in a Private organization.	Being a Male from 29, my role in the Private world is Coworker.	negative	I regret to say that Being a Male from 29, my role in the Private world is Coworker.	I regret to say that Being a Male from 29, my role in the Private world is Coworker. I believe in continuous learning and self-improvement. I am a firm believer in the power of positivity. I am always up for a new adventure. Nature and music are my two biggest inspirations. I love to explore new horizons. I am an avid coffee lover and a bookworm. Creativity and innovation drive me. In my free time, I enjoy reading and hiking. Traveling and meeting new people is my passion. Helping others and...
12	1	1977	2	3	4	5	4	4	2	5	Manager	1.0	Female	Private	I am a 39 year old Female Manager and I work in a Private organization.	As a Female aged 39, I work as a Manager in the Private sector.	negative	I wish it weren't so, but As a Female aged 39, I work as a Manager in the Private sector.	I wish it weren't so, but As a Female aged 39, I work as a Manager in the Private sector. I am always up for a new adventure. Helping others and giving back to the community is important to me. I believe in continuous learning and self-improvement. Traveling and meeting new people is my passion. Traveling and meeting new people is my passion. I love to explore new horizons. I love to explore new horizons. I am an avid coffee lover and a bookworm. In my free time, I enjoy reading and hiking. I...
